target_id	length	eff_length	est_counts	tpm
ENST00000000233	1103	926.296	2797.28	119.207
ENST00000000412	2756	2579.3	3614.25	55.3136
ENST00000000442	2215	2038.3	596.038	11.5431
ENST00000001008	2267	2090.3	8145.62	153.826
ENST00000001146	4732	4555.3	0	0
ENST00000002125	2176	1999.3	487.77	9.63059
ENST00000002165	2356	2179.3	1295.66	23.4687
ENST00000002501	2079	1902.3	1812.88	37.6188
ENST00000002596	8031	7854.3	23	0.115594
ENST00000002829	3802	3625.3	0	0
ENST00000003084	6128	5951.3	0	0
ENST00000003100	3210	3033.3	2986.64	38.8672
ENST00000003302	4669	4492.3	30.3392	0.266594
ENST00000003583	2544	2367.3	0	0
ENST00000003912	5481	5304.3	378.212	2.81464
ENST00000004103	1261	1084.3	7.52724	0.274033
ENST00000004531	7560	7383.3	0	0
ENST00000004921	1324	1147.3	0	0
ENST00000004980	4838	4661.3	332.375	2.81472
ENST00000004982	1457	1280.3	25.7432	0.793719
ENST00000005082	2021	1844.3	141.14	3.02088
ENST00000005178	3576	3399.3	2	0.023225
ENST00000005180	526	349.296	0	0
ENST00000005226	2700	2523.3	0	0
ENST00000005257	2880	2703.3	1689.37	24.6687
ENST00000005259	4572	4395.3	176.05	1.58111
ENST00000005260	3622	3445.3	1632	18.6986
ENST00000005284	3088	2911.3	2	0.027118
ENST00000005286	3480	3303.3	114.744	1.37119
ENST00000005340	3018	2841.3	1260.08	17.5064
ENST00000005374	993	816.296	10.1805	0.492307
ENST00000005386	2332	2155.3	845.28	15.4813
ENST00000005558	1834	1657.3	24.4223	0.581703
ENST00000005756	2224	2047.3	0	0
ENST00000005995	1101	924.296	0	0
ENST00000006015	2295	2118.3	0	0
ENST00000006053	3321	3144.3	938.918	11.7874
ENST00000006101	886	709.296	78.2406	4.35431
ENST00000006251	1767	1590.3	684.176	16.9826
ENST00000006275	805	628.296	752.49	47.2771
ENST00000006658	2719	2542.3	353.732	5.49241
ENST00000006724	2489	2312.3	0	0
ENST00000006750	1269	1092.3	1008.53	36.4471
ENST00000006777	1802	1625.3	279.366	6.7851
ENST00000006967	2434	2257.3	0	0
ENST00000007264	2050	1873.3	618.238	13.0276
ENST00000007390	1243	1066.3	1791.86	66.3346
ENST00000007414	3640	3463.3	333.444	3.80056
ENST00000007510	4401	4224.3	0.0291152	0.00027207
ENST00000007516	717	540.296	2437.26	178.067
ENST00000007633	2807	2630.3	0	0
ENST00000007660	1790	1613.3	0	0
ENST00000007699	1590	1413.3	0	0
ENST00000007708	2384	2207.3	170.675	3.05228
ENST00000007722	3665	3488.3	0	0
ENST00000007735	1287	1110.3	0	0
ENST00000007969	1629	1452.3	196.254	5.33431
ENST00000008180	1056	879.296	88.4484	3.97072
ENST00000008391	1711	1534.3	0	0
ENST00000008440	1667	1490.3	0	0
ENST00000008527	3267	3090.3	162.606	2.07707
ENST00000008876	2566	2389.3	0	0
ENST00000008938	720	543.296	0	0
ENST00000009041	1728	1551.3	557.497	14.1861
ENST00000009105	2612	2435.3	0	0
ENST00000009180	1169	992.296	771.202	30.679
ENST00000009530	981	804.296	11642.3	571.396
ENST00000009589	626	449.296	41441.2	3640.94
ENST00000010132	1816	1639.3	0	0
ENST00000010299	1050	873.296	0	0
ENST00000010338	1767	1590.3	237.293	5.89008
ENST00000010404	901	724.296	0	0
ENST00000011292	1487	1310.3	0	0
ENST00000011473	2127	1950.3	0	0
ENST00000011619	3113	2936.3	1013.92	13.6306
ENST00000011653	3114	2937.3	4092.05	54.993
ENST00000011684	2881	2704.3	138.345	2.01941
ENST00000011691	815	638.296	756.574	46.789
ENST00000011700	10969	10792.3	319.278	1.1678
ENST00000011898	4323	4146.3	2.39124e-05	2.27655e-07
ENST00000011989	951	774.296	0	0
ENST00000012049	2310	2133.3	576.35	10.6647
ENST00000012134	9524	9347.3	489.499	2.06719
ENST00000012443	2109	1932.3	2217.04	45.2912
ENST00000013034	796	619.296	0	0
ENST00000013070	3694	3517.3	3088.81	34.6655
ENST00000013125	4354	4177.3	976.802	9.23051
ENST00000013222	2559	2382.3	16.3028	0.270134
ENST00000013807	1278	1101.3	261.486	9.37258
ENST00000014914	7362	7185.3	188.941	1.03799
ENST00000014930	1173	996.296	2	0.0792421
ENST00000014935	2652	2475.3	54.6876	0.872119
ENST00000016171	2356	2179.3	479.69	8.68879
ENST00000016913	1167	990.296	0	0
ENST00000016946	7253	7076.3	186.427	1.03996
ENST00000017003	3507	3330.3	1251	14.8282
ENST00000019019	1986	1809.3	16.3199	0.356059
ENST00000019103	1865	1688.3	0	0
ENST00000019317	4368	4191.3	0	0
ENST00000020673	4183	4006.3	0	0
ENST00000020926	5144	4967.3	0	0
ENST00000020945	2088	1911.3	0	0
ENST00000022615	1355	1178.3	5334.46	178.711
ENST00000023064	1761	1584.3	0	0
ENST00000023897	2083	1906.3	0	0
ENST00000023939	1650	1473.3	3530.87	94.6032
ENST00000024061	3546	3369.3	6.86474	0.0804266
ENST00000025008	6635	6458.3	329.23	2.01231
ENST00000025301	9913	9736.3	1632	6.61669
ENST00000025399	1442	1265.3	6.63791	0.207087
ENST00000025469	1540	1363.3	406.433	11.7683
ENST00000026218	2846	2669.3	323.787	4.78825
ENST00000027335	3693	3516.3	11.6632	0.130932
ENST00000029410	1747	1570.3	498.031	12.5196
ENST00000031135	1244	1067.3	55.5046	2.05286
ENST00000031146	5192	5015.3	1693.81	13.3316
ENST00000033079	5465	5288.3	812.794	6.06707
ENST00000034275	1762	1585.3	266.106	6.6261
ENST00000035307	3973	3796.3	784.146	8.15364
ENST00000035383	5000	4823.3	0	0
ENST00000037243	1002	825.296	3475.09	166.215
ENST00000037502	2095	1918.3	3578	73.6273
ENST00000037869	1810	1633.3	2011	48.6027
ENST00000038176	3569	3392.3	1616.27	18.8077
ENST00000039007	1585	1408.3	0	0
ENST00000039989	4469	4292.3	828.982	7.62377
ENST00000040584	3371	3194.3	0	0
ENST00000040663	1735	1558.3	365.119	9.24909
ENST00000040738	10565	10388.3	1459.92	5.54751
ENST00000040877	5130	4953.3	2167	17.2695
ENST00000042381	4051	3874.3	888.055	9.04819
ENST00000042931	1908	1731.3	0	0
ENST00000043402	2157	1980.3	0	0
ENST00000044462	1254	1077.3	4030.7	147.693
ENST00000045083	4279	4102.3	0	0
ENST00000045347	1410	1233.3	0	0
ENST00000046087	1213	1036.3	0	0
ENST00000046640	2866	2689.3	298.4	4.38
ENST00000046794	4678	4501.3	795.162	6.97321
ENST00000050961	11091	10914.3	0	0
ENST00000052569	4590	4413.3	790.73	7.07261
ENST00000052754	2392	2215.3	0	0
ENST00000053243	994	817.296	3531.83	170.583
ENST00000053468	2110	1933.3	1028	20.9898
ENST00000053469	1874	1697.3	0	0
ENST00000053867	2148	1971.3	12385.6	248.015
ENST00000054650	1366	1189.3	315.171	10.4609
ENST00000054666	2205	2028.3	330.742	6.43684
ENST00000054668	420	243.872	0	0
ENST00000054950	2572	2395.3	2971.85	48.9759
ENST00000055077	1695	1518.3	2191.3	56.9717
ENST00000055335	3421	3244.3	139.066	1.69206
ENST00000055682	11719	11542.3	627.229	2.14511
ENST00000056217	5544	5367.3	285.714	2.10132
ENST00000056233	3686	3509.3	1098.36	12.3549
ENST00000057513	2416	2239.3	0	0
ENST00000060969	2190	2013.3	117.027	2.29453
ENST00000061240	6708	6531.3	0	0
ENST00000062104	1294	1117.3	0	0
ENST00000064571	3024	2847.3	0	0
ENST00000064724	2169	1992.3	0	0
ENST00000064778	7296	7119.3	1587.49	8.80214
ENST00000064780	3535	3358.3	317.613	3.73331
ENST00000066544	5801	5624.3	1570.17	11.0203
ENST00000070846	4241	4064.3	0	0
ENST00000072516	4697	4520.3	0	0
ENST00000072644	1803	1626.3	414.091	10.051
ENST00000072869	2377	2200.3	555.97	9.97435
ENST00000074304	6752	6575.3	2364.84	14.1972
ENST00000075120	3915	3738.3	2163.43	22.8446
ENST00000075322	2651	2474.3	317.487	5.06512
ENST00000075430	3538	3361.3	145.074	1.70372
ENST00000075503	2995	2818.3	0	0
ENST00000078429	4147	3970.3	487.034	4.84229
ENST00000078445	2618	2441.3	0	0
ENST00000078527	2367	2190.3	510.901	9.20763
ENST00000080059	4095	3918.3	542.345	5.46378
ENST00000081029	1888	1711.3	1458.21	33.6364
ENST00000082259	2633	2456.3	0	0
ENST00000083182	6468	6291.3	831	5.21405
ENST00000084795	612	435.296	28376.3	2573.27
ENST00000084798	1844	1667.3	70.6356	1.67234
ENST00000085068	1122	945.296	1050.17	43.8536
ENST00000085079	2355	2178.3	265.77	4.81619
ENST00000085219	3268	3091.3	11891.3	151.846
ENST00000086933	1033	856.296	0	0
ENST00000155093	5239	5062.3	153.824	1.19948
ENST00000155674	1735	1558.3	135.797	3.43996
ENST00000155840	3245	3068.3	24	0.308765
ENST00000155858	3929	3752.3	0	0
ENST00000155926	4391	4214.3	121.999	1.14274
ENST00000156084	2740	2563.3	1.55722	0.0239809
ENST00000156109	1735	1558.3	1126	28.5235
ENST00000156471	5945	5768.3	1609	11.0109
ENST00000156499	1060	883.296	0	0
ENST00000156626	2570	2393.3	0	0
ENST00000156825	2559	2382.3	60.1228	0.996226
ENST00000157600	1851	1674.3	736.216	17.3575
ENST00000157812	1591	1414.3	2828.65	78.9503
ENST00000158009	1388	1211.3	0	0
ENST00000158149	3797	3620.3	161.95	1.76584
ENST00000158166	2459	2282.3	0	0
ENST00000158526	1240	1063.3	29.928	1.11106
ENST00000158762	2512	2335.3	3559.37	60.1652
ENST00000158771	4209	4032.3	534.366	5.23119
ENST00000159060	2042	1865.3	0	0
ENST00000159087	4152	3975.3	86	0.853972
ENST00000159111	5593	5416.3	3114.72	22.7002
ENST00000159647	2964	2787.3	0	0
ENST00000160262	1934	1757.3	7488.51	168.215
ENST00000160298	3889	3712.3	125.406	1.33349
ENST00000160373	5970	5793.3	0	0
ENST00000160382	1537	1360.3	0	0
ENST00000160713	558	381.296	0	0
ENST00000160740	6111	5934.3	41.4535	0.275744
ENST00000160827	2113	1936.3	2527.93	51.5357
ENST00000161006	1386	1209.3	0	0
ENST00000161559	3519	3342.3	247.95	2.92842
ENST00000161863	6316	6139.3	736	4.73232
ENST00000162023	1623	1446.3	381.026	10.3995
ENST00000162044	1820	1643.3	615.127	14.7762
ENST00000162330	3221	3044.3	633.668	8.21655
ENST00000162391	5523	5346.3	450	3.32257
ENST00000162749	2223	2046.3	416.534	8.0352
ENST00000163416	2969	2792.3	871	12.3132
ENST00000164024	11956	11779.3	322.98	1.08236
ENST00000164133	2745	2568.3	411	6.317
ENST00000164139	3198	3021.3	0	0
ENST00000164227	2038	1861.3	757.851	16.0725
ENST00000164247	4273	4096.3	0	0
ENST00000164305	2172	1995.3	378.252	7.48323
ENST00000164640	3689	3512.3	0	0
ENST00000165524	264	96.3238	0	0
ENST00000165698	3857	3680.3	0	0
ENST00000166133	489	312.349	0	0
ENST00000166139	2501	2324.3	1453.66	24.688
ENST00000166244	4943	4766.3	0	0
ENST00000166345	2672	2495.3	595.249	9.41654
ENST00000166534	2230	2053.3	192.393	3.69873
ENST00000167106	5724	5547.3	454.58	3.23477
ENST00000167462	3480	3303.3	0	0
ENST00000167586	1662	1485.3	0	0
ENST00000167588	1737	1560.3	0	0
ENST00000167825	3443	3266.3	0.000220475	2.66451e-06
ENST00000168148	1024	847.296	0	0
ENST00000168216	960	783.296	3186.61	160.59
ENST00000168712	1220	1043.3	0	0
ENST00000168977	1126	949.296	0	0
ENST00000169293	2440	2263.3	0	0
ENST00000169298	4645	4468.3	65.9911	0.582986
ENST00000169551	1527	1350.3	886.469	25.9149
ENST00000169565	891	714.296	0	0
ENST00000170150	1898	1721.3	0	0
ENST00000170168	4578	4401.3	1042	9.34548
ENST00000170447	2848	2671.3	998.172	14.7502
ENST00000170564	3492	3315.3	351	4.17926
ENST00000170630	3446	3269.3	1015.78	12.2648
ENST00000171000	3604	3427.3	24.234	0.279118
ENST00000171111	2955	2778.3	101.499	1.44211
ENST00000171214	1714	1537.3	0	0
ENST00000171757	1714	1537.3	408.112	10.4794
ENST00000171887	10331	10154.3	12.765	0.0496234
ENST00000172229	3417	3240.3	6.16417	0.0750938
ENST00000172853	20577	20400.3	0	0
ENST00000173229	5954	5777.3	0.0299759	0.000204815
ENST00000173527	1940	1763.3	839	18.7824
ENST00000173898	4647	4470.3	0	0
ENST00000174618	4996	4819.3	400	3.27635
ENST00000174621	4170	3993.3	0	0
ENST00000174653	3661	3484.3	0	0
ENST00000175091	1765	1588.3	1164	28.9292
ENST00000175238	3367	3190.3	0	0
ENST00000175506	2356	2179.3	15.7896	0.286002
ENST00000175756	3669	3492.3	2890.41	32.6711
ENST00000176183	1375	1198.3	4	0.131768
ENST00000176195	366	190.906	0	0
ENST00000176643	3928	3751.3	31.2957	0.32932
ENST00000176763	6060	5883.3	6759.17	45.351
ENST00000177648	4537	4360.3	740.172	6.70087
ENST00000177694	2572	2395.3	131	2.15887
ENST00000177742	1040	863.296	196.451	8.98274
ENST00000178638	6413	6236.3	1.61688	0.0102345
ENST00000178640	2347	2170.3	591.746	10.7629
ENST00000179259	1361	1184.3	899	29.965
ENST00000179765	8844	8667.3	40.2833	0.183466
ENST00000179882	3940	3763.3	0	0
ENST00000180166	1688	1511.3	0	0
ENST00000180173	3850	3673.3	13.8036	0.148338
ENST00000181383	1717	1540.3	0	0
ENST00000181796	3785	3608.3	0	0
ENST00000181839	7298	7121.3	651.029	3.60874
ENST00000182096	4782	4605.3	7.54967	0.064712
ENST00000182290	1318	1141.3	15.3636	0.531385
ENST00000182377	2095	1918.3	0	0
ENST00000182527	6908	6731.3	531	3.11394
ENST00000183605	3520	3343.3	0	0
ENST00000184183	1614	1437.3	0	0
ENST00000184266	671	494.296	2659.54	212.39
ENST00000184956	3932	3755.3	527	5.53963
ENST00000185150	2433	2256.3	718.531	12.5708
ENST00000185206	2713	2536.3	0	0
ENST00000185907	1255	1078.3	5.07516	0.185792
ENST00000186436	6640	6463.3	3307	20.1974
ENST00000187397	3433	3256.3	0	0
ENST00000187608	1300	1123.3	14.5272	0.510507
ENST00000187762	2649	2472.3	603	9.62789
ENST00000187879	1598	1421.3	5.61591	0.155973
ENST00000187910	1674	1497.3	0	0
ENST00000188312	2464	2287.3	89.5175	1.5449
ENST00000188376	1909	1732.3	290.105	6.6107
ENST00000188403	1630	1453.3	1.38733	0.0376825
ENST00000188790	2780	2603.3	0	0
ENST00000189444	3011	2834.3	4243.35	59.0987
ENST00000189978	2754	2577.3	0	0
ENST00000190165	2183	2006.3	0	0
ENST00000190611	7055	6878.3	0	0
ENST00000190983	1403	1226.3	0	0
ENST00000191018	1898	1721.3	866.206	19.8646
ENST00000191063	1567	1390.3	23.3194	0.662101
ENST00000192314	1370	1193.3	0	0
ENST00000192788	9570	9393.3	857	3.60145
ENST00000193029	1216	1039.3	5	0.189909
ENST00000193322	4467	4290.3	246	2.26341
ENST00000193391	8337	8160.3	6.0013	0.0290305
ENST00000193403	3779	3602.3	907.548	9.945
ENST00000194097	6088	5911.3	246.443	1.64569
ENST00000194118	2203	2026.3	566.133	11.0288
ENST00000194130	3815	3638.3	0	0
ENST00000194152	3621	3444.3	0	0
ENST00000194155	2736	2559.3	1	0.0154239
ENST00000194214	915	738.296	1093.87	58.4857
ENST00000194530	2293	2116.3	723.647	13.4979
ENST00000194871	3868	3691.3	0	0
ENST00000194900	6109	5932.3	0	0
ENST00000195173	4832	4655.3	1.99061e-05	1.68793e-07
ENST00000195455	873	696.296	0	0
ENST00000195649	4434	4257.3	0	0
ENST00000196061	2940	2763.3	3260.48	46.5767
ENST00000196169	3019	2842.3	108.329	1.50449
ENST00000196371	3388	3211.3	3235.43	39.771
ENST00000196482	3000	2823.3	268.837	3.75878
ENST00000196489	2561	2384.3	189	3.12908
ENST00000196548	2211	2034.3	40.1341	0.778779
ENST00000196551	740	563.296	23734.4	1663.25
ENST00000197268	4808	4631.3	97	0.826768
ENST00000198536	1313	1136.3	90.0784	3.12927
ENST00000198765	4760	4583.3	314.494	2.70862
ENST00000198767	3762	3585.3	1639.91	18.0555
ENST00000198801	1404	1227.3	0.227181	0.00730698
ENST00000198939	4084	3907.3	744.795	7.52445
ENST00000199280	4174	3997.3	0	0
ENST00000199320	2859	2682.3	904.669	13.3137
ENST00000199389	4463	4286.3	6467.93	59.5659
ENST00000199447	2312	2135.3	39.4512	0.729317
ENST00000199448	2599	2422.3	72.2761	1.17783
ENST00000199706	1098	921.296	2277.19	97.5697
ENST00000199708	536	359.296	1	0.109866
ENST00000199764	2700	2523.3	0	0
ENST00000199814	2342	2165.3	1268	23.1162
ENST00000199936	1455	1278.3	0	0
ENST00000199940	2241	2064.3	0	0
ENST00000200135	2992	2815.3	663	9.29617
ENST00000200181	5919	5742.3	37.1928	0.255675
ENST00000200307	808	631.296	0	0
ENST00000200453	2378	2201.3	2185.69	39.1945
ENST00000200457	1942	1765.3	1609.94	36.0004
ENST00000200557	4571	4394.3	6	0.0538985
ENST00000200639	1867	1690.3	376.579	8.79444
ENST00000200652	2201	2024.3	1	0.0195003
ENST00000200676	1791	1614.3	0	0
ENST00000200691	569	392.296	0	0
ENST00000201015	1872	1695.3	0	0
ENST00000201031	2866	2689.3	0	0
ENST00000201586	1295	1118.3	0	0
ENST00000201647	2536	2359.3	0	0
ENST00000201943	1394	1217.3	0	0
ENST00000201961	971	794.296	91.0517	4.52501
ENST00000201963	4255	4078.3	0	0
ENST00000201979	1665	1488.3	0	0
ENST00000202017	1385	1208.3	1117	36.4917
ENST00000202028	3514	3337.3	0	0
ENST00000202556	4958	4781.3	212.957	1.75817
ENST00000202578	6645	6468.3	0	0
ENST00000202625	2292	2115.3	0	0
ENST00000202677	6152	5975.3	73.4093	0.48496
ENST00000202773	947	770.296	55581	2848.28
ENST00000202816	3216	3039.3	613	7.96163
ENST00000202831	2975	2798.3	45.0969	0.636162
ENST00000202834	1472	1295.3	2638.22	80.4001
ENST00000202917	1816	1639.3	963.185	23.1935
ENST00000202967	1217	1040.3	91.4083	3.46851
ENST00000203001	2327	2150.3	581.119	10.668
ENST00000203166	4283	4106.3	547.187	5.26018
ENST00000203407	1985	1808.3	5614	122.551
ENST00000203556	3538	3361.3	2607.86	30.6261
ENST00000203616	990	813.296	28.9115	1.40326
ENST00000203629	1974	1797.3	310.075	6.81022
ENST00000203630	1958	1781.3	1558.02	34.5263
ENST00000203664	3922	3745.3	25	0.263493
ENST00000204005	5031	4854.3	0	0
ENST00000204307	656	479.296	5.15617	0.424657
ENST00000204517	2215	2038.3	540.705	10.4715
ENST00000204549	2851	2674.3	926	13.6683
ENST00000204566	1822	1645.3	1422.28	34.1236
ENST00000204604	3521	3344.3	0	0
ENST00000204615	1855	1678.3	0	0
ENST00000204637	1046	869.296	39.1709	1.77873
ENST00000204679	1221	1044.3	577.342	21.8235
ENST00000204726	9252	9075.3	28.8144	0.125332
ENST00000204801	1083	906.296	6.94632	0.302551
ENST00000204961	3314	3137.3	71	0.893341
ENST00000205061	3730	3553.3	89.8377	0.998026
ENST00000205135	4209	4032.3	466.528	4.5671
ENST00000205143	2332	2155.3	10.4472	0.191341
ENST00000205194	1536	1359.3	503.959	14.6351
ENST00000205214	3590	3413.3	185.308	2.14306
ENST00000205386	5857	5680.3	0	0
ENST00000205402	3755	3578.3	801.426	8.84101
ENST00000205557	5747	5570.3	13	0.0921254
ENST00000205636	3863	3686.3	2207	23.6334
ENST00000205890	11863	11686.3	14.9176	0.0503891
ENST00000205948	1176	999.296	0	0
ENST00000206020	1058	881.296	2385.16	106.834
ENST00000206249	6455	6278.3	0	0
ENST00000206262	1636	1459.3	15.7461	0.425935
ENST00000206380	1536	1359.3	1255.01	36.4458
ENST00000206423	4664	4487.3	0	0
ENST00000206446	633	456.296	0	0
ENST00000206451	1006	829.296	10210.1	485.998
ENST00000206474	1642	1465.3	409.438	11.03
ENST00000206513	1554	1377.3	1	0.0286607
ENST00000206542	2002	1825.3	858.108	18.5577
ENST00000206544	2284	2107.3	0	0
ENST00000206595	5804	5627.3	167.119	1.1723
ENST00000206660	3944	3767.3	0	0
ENST00000206765	2777	2600.3	0	0
ENST00000207157	3492	3315.3	0	0
ENST00000207437	869	692.296	1776.67	101.304
ENST00000207457	1509	1332.3	1.7623	0.0522147
ENST00000207549	4393	4216.3	2263.51	21.1917
ENST00000207726	3284	3107.3	0.0974603	0.00123811
ENST00000207771	1713	1536.3	0	0
ENST00000207870	3664	3487.3	34.7219	0.393033
ENST00000209540	1242	1065.3	0	0
ENST00000209665	2289	2112.3	0	0
ENST00000209668	1499	1322.3	0	0
ENST00000209718	1987	1810.3	0	0
ENST00000209728	3072	2895.3	1289.64	17.5829
ENST00000209873	1840	1663.3	1589.87	37.7317
ENST00000209875	11528	11351.3	6794.85	23.6292
ENST00000209884	3421	3244.3	314.985	3.83251
ENST00000209929	3851	3674.3	0	0
ENST00000210060	1363	1186.3	1478.91	49.2112
ENST00000210187	1675	1498.3	4.85736	0.127973
ENST00000210227	734	557.296	0	0
ENST00000210313	3443	3266.3	970.357	11.7271
ENST00000210444	1170	993.296	1218.92	48.4408
ENST00000210633	4094	3917.3	32.0185	0.322649
ENST00000211076	963	786.296	0	0
ENST00000211122	902	725.296	0	0
ENST00000211287	2052	1875.3	1230.48	25.9012
ENST00000211314	992	815.296	261	12.6369
ENST00000211379	3779	3602.3	0.000153904	1.68649e-06
ENST00000211413	1909	1732.3	0	0
ENST00000211921	504	327.296	26.8034	3.23268
ENST00000211936	3101	2924.3	60.4847	0.816467
ENST00000211998	5482	5305.3	14.1443	0.105241
ENST00000212015	4094	3917.3	353.985	3.56708
ENST00000212355	6416	6239.3	67.5864	0.427601
ENST00000214869	1340	1163.3	403.95	13.7073
ENST00000215057	2905	2728.3	105.331	1.52398
ENST00000215061	1133	956.296	93.0435	3.84068
ENST00000215069	3504	3327.3	0	0
ENST00000215071	1553	1376.3	111.091	3.18627
ENST00000215095	4664	4487.3	43.1743	0.3798
ENST00000215115	1740	1563.3	669.434	16.9037
ENST00000215368	2143	1966.3	0	0
ENST00000215375	996	819.296	953.147	45.9233
ENST00000215376	2564	2387.3	0	0
ENST00000215473	4023	3846.3	0	0
ENST00000215479	802	625.296	0	0
ENST00000215530	643	466.296	0	0
ENST00000215531	908	731.296	0	0
ENST00000215539	2116	1939.3	1.22332	0.0249007
ENST00000215555	1376	1199.3	104.876	3.45194
ENST00000215565	531	354.296	2008	223.724
ENST00000215567	1171	994.296	1452.28	57.6568
ENST00000215570	1973	1796.3	1371.56	30.1406
ENST00000215574	1469	1292.3	1278.41	39.0503
ENST00000215582	2872	2695.3	3	0.0439369
ENST00000215587	1504	1327.3	5044.28	150.019
ENST00000215631	1373	1196.3	4405.11	145.356
ENST00000215637	1577	1400.3	0	0
ENST00000215659	1918	1741.3	310.407	7.03678
ENST00000215727	2437	2260.3	9	0.157178
ENST00000215730	4287	4110.3	1143.32	10.9802
ENST00000215739	4572	4395.3	1028.33	9.23546
ENST00000215742	1213	1036.3	58.9213	2.24441
ENST00000215743	2291	2114.3	25	0.466755
ENST00000215754	939	762.296	19249.7	996.815
ENST00000215770	1545	1368.3	112.09	3.23371
ENST00000215780	1094	917.296	0	0
ENST00000215781	1854	1677.3	16	0.376552
ENST00000215790	2077	1900.3	600.25	12.4688
ENST00000215793	5143	4966.3	5172.33	41.1119
ENST00000215794	2129	1952.3	1597.36	32.2977
ENST00000215798	1651	1474.3	68.8073	1.84232
ENST00000215812	2086	1909.3	0	0
ENST00000215829	1763	1586.3	2120.03	52.7559
ENST00000215832	11022	10845.3	3318.19	12.0774
ENST00000215838	2535	2358.3	239.037	4.00112
ENST00000215855	867	690.296	1	0.0571846
ENST00000215862	4469	4292.3	340.396	3.13047
ENST00000215882	1641	1464.3	1366.77	36.8451
ENST00000215885	2697	2520.3	0	0
ENST00000215886	589	412.296	13	1.24465
ENST00000215904	2010	1833.3	836.338	18.0079
ENST00000215906	3357	3180.3	438	5.43652
ENST00000215909	560	383.296	19956	2055.2
ENST00000215912	2467	2290.3	483.472	8.33287
ENST00000215917	4020	3843.3	800.135	8.21814
ENST00000215919	2516	2339.3	604.238	10.1962
ENST00000215939	1102	925.296	0	0
ENST00000215941	2184	2007.3	420.642	8.27211
ENST00000215956	1630	1453.3	548.868	14.9083
ENST00000215957	4710	4533.3	937.106	8.15998
ENST00000215980	966	789.296	1245.75	62.3024
ENST00000216014	1728	1551.3	22.0693	0.561576
ENST00000216024	2371	2194.3	42.0828	0.757049
ENST00000216027	1114	937.296	291.366	12.2709
ENST00000216029	1133	956.296	389.682	16.0854
ENST00000216034	1432	1255.3	3119	98.0807
ENST00000216036	1291	1114.3	8.66033	0.306795
ENST00000216037	1850	1673.3	1734.53	40.9188
ENST00000216038	2027	1850.3	3486	74.3705
ENST00000216039	3648	3471.3	2317.25	26.351
ENST00000216044	5126	4949.3	2850.25	22.7329
ENST00000216061	3415	3238.3	102.329	1.24738
ENST00000216064	3908	3731.3	2604.96	27.5585
ENST00000216068	1504	1327.3	276.733	8.23015
ENST00000216071	995	818.296	0	0
ENST00000216075	1130	953.296	0	0
ENST00000216080	2658	2481.3	68.3012	1.08659
ENST00000216083	3191	3014.3	35.1124	0.459822
ENST00000216085	1794	1617.3	310	7.56635
ENST00000216099	2528	2351.3	816.288	13.7041
ENST00000216101	1490	1313.3	0	0
ENST00000216106	4047	3870.3	463.042	4.7227
ENST00000216115	953	776.296	21	1.06784
ENST00000216117	1822	1645.3	1624	38.9634
ENST00000216121	2237	2060.3	5111.57	97.9352
ENST00000216122	3534	3357.3	1473.02	17.3194
ENST00000216124	2050	1873.3	94.0601	1.98205
ENST00000216127	3412	3235.3	0	0
ENST00000216129	3385	3208.3	3642.24	44.8135
ENST00000216133	4081	3904.3	719	7.26943
ENST00000216139	1433	1256.3	1.73282	0.0544473
ENST00000216144	3259	3082.3	2.15952	0.0276565
ENST00000216146	1442	1265.3	54372.8	1696.3
ENST00000216155	497	320.307	12.9264	1.59303
ENST00000216160	3237	3060.3	853.821	11.0133
ENST00000216177	2539	2362.3	0	0
ENST00000216180	2805	2628.3	12	0.180228
ENST00000216181	7501	7324.3	34379.7	185.29
ENST00000216185	1736	1559.3	1430.97	36.2255
ENST00000216187	3933	3756.3	6.4368e-06	6.76433e-08
ENST00000216190	2155	1978.3	739.35	14.7528
ENST00000216194	1993	1816.3	3155.35	68.5765
ENST00000216200	595	418.296	0	0
ENST00000216211	1051	874.296	0	0
ENST00000216214	3458	3281.3	79.2968	0.953948
ENST00000216218	3595	3418.3	10263.3	118.52
ENST00000216223	4113	3936.3	6090	61.0723
ENST00000216225	1188	1011.3	3785.81	147.773
ENST00000216237	3296	3119.3	1548.98	19.6021
ENST00000216241	2533	2356.3	4.33197e-05	7.25721e-07
ENST00000216252	1086	909.296	837	36.3358
ENST00000216254	2741	2564.3	6271.86	96.5479
ENST00000216259	1298	1121.3	571.935	20.1345
ENST00000216264	4450	4273.3	1951	18.0222
ENST00000216267	4614	4437.3	9.21683	0.0819932
ENST00000216268	6893	6716.3	1173	6.89418
ENST00000216271	2687	2510.3	637.527	10.0251
ENST00000216274	1930	1753.3	184	4.14264
ENST00000216277	4519	4342.3	3034.31	27.5839
ENST00000216281	3379	3202.3	50023.4	616.632
